District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ba Vi,21.1559766,105.3749427,Làng cổ Đường Lâm,21.15815511,105.470405,Historic and Protected Site
Ba Vi,21.1559766,105.3749427,Tản Đà Spa Resort,21.10016795,105.4207793,Resort
Ba Vi,21.1559766,105.3749427,Đầm Long,21.17088731,105.3444179,Campground
Ba Vi,21.1559766,105.3749427,Nghĩa Trang Công Viên Vĩnh Hằng,21.21046237,105.3817308,Cemetery
Ba Vi,21.1559766,105.3749427,Ao Vua Hotel,21.09500046,105.3720658,Motel
Ba Vi,21.1559766,105.3749427,Khu Di Tích Lịch Sử K9 Đá Chông,21.11858751,105.320096,Historic and Protected Site
Ba Dinh,21.0365377,105.8285908,Standing Bar,21.04696431,105.8402007,Beer Bar
Ba Dinh,21.0365377,105.8285908,Hotel La Siesta Trendy,21.03224444,105.8457272,Hotel
Ba Dinh,21.0365377,105.8285908,Pizza 4P,21.034181,105.812777,Pizzeria
Ba Dinh,21.0365377,105.8285908,Pizza 4Ps Lotte Hanoi,21.032145,105.813378,Pizzeria
Ba Dinh,21.0365377,105.8285908,Văn Miếu Quốc Tử Giám (Temple of Literature) (Văn Miếu Quốc Tử Giám),21.02870741,105.8360046,Confucian Temple
Ba Dinh,21.0365377,105.8285908,The Railway Cafe,21.02941903,105.8431118,Café
Ba Dinh,21.0365377,105.8285908,Hong Hoai Restaurant,21.033757,105.847427,Asian Restaurant
Ba Dinh,21.0365377,105.8285908,Apricot Boutique Hotel,21.028105,105.85093,Hotel
Ba Dinh,21.0365377,105.8285908,Bánh Mì 25,21.03616703,105.8486871,Sandwich Spot
Ba Dinh,21.0365377,105.8285908,Chả Cá Thăng Long,21.033208,105.846044,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,Pizza 4P's,21.02974552,105.8489557,Pizzeria
Ba Dinh,21.0365377,105.8285908,Phở Gia Truyền Bát Đàn,21.0337111,105.8464615,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,La Siesta Hotel,21.03427457,105.853351,Hotel
Ba Dinh,21.0365377,105.8285908,Pepe la Poule,21.05567703,105.8212862,French Restaurant
Ba Dinh,21.0365377,105.8285908,Apron Up Restaurant,21.03402339,105.8473036,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,Duong's 2 Restaurant & Cooking Class,21.03410845,105.8534968,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,HOME Hanoi Restaurant,21.04546233,105.8424943,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,Dream Beans Coffee,21.029088,105.848596,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Sofitel Legend Metropole Hanoi,21.0259859,105.8556869,Hotel
Ba Dinh,21.0365377,105.8285908,Cộng Càphê,21.03516553,105.853395,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Pizza 4P,21.02514062,105.854438,Italian Restaurant
Ba Dinh,21.0365377,105.8285908,Orchid Cooking Class & Restaurant,21.03387409,105.8532701,Culinary School
Ba Dinh,21.0365377,105.8285908,Lotte Hotel Hanoi,21.03224132,105.8128173,Hotel
Ba Dinh,21.0365377,105.8285908,Bún Chả Hàng Quạt,21.03252245,105.8488068,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Bún Chả Nem Rán 41 Cửa Đông,21.03462917,105.8458793,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Tranquil Books & Coffee,21.03249147,105.8456909,Coffee Shop
Ba Dinh,21.0365377,105.8285908,The Fat Pig (Con Heo Béo),21.06053486,105.82731,BBQ Joint
Ba Dinh,21.0365377,105.8285908,Maison Marou Hanoi,21.02191169,105.8498236,Chocolate Store
Ba Dinh,21.0365377,105.8285908,Phở 10 Lý Quốc Sư,21.030473,105.848801,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Yakushi Center for Holistic Health,21.0614743,105.8319556,Massage Clinic
Ba Dinh,21.0365377,105.8285908,Cộng Càphê,21.02892649,105.8494596,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Orchids Spa,21.02943437,105.8504335,Spa
Ba Dinh,21.0365377,105.8285908,Bun Cha Ta,21.03437342,105.8543823,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Cafe Giảng,21.03353678,105.8546951,Coffee Shop
Ba Dinh,21.0365377,105.8285908,InterContinental Hanoi Westlake,21.058378,105.83178,Hotel
Ba Dinh,21.0365377,105.8285908,Starbucks Reserve Nhà Thờ,21.02916166,105.8502215,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Nhất Ly,21.01045729,105.825109,Hotpot Restaurant
Ba Dinh,21.0365377,105.8285908,VietClimb,21.05580725,105.8413735,Climbing Gym
Ba Dinh,21.0365377,105.8285908,Cộng Càphê 54 Hàng Điếu (Hàng Nón),21.03261866,105.8468432,Café
Ba Dinh,21.0365377,105.8285908,Nhạc Cafe - Music Cafe,21.0324653,105.855285,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Cafe Đinh,21.03188184,105.852163,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Chùa Trấn Quốc,21.04791766,105.8370998,Buddhist Temple
Ba Dinh,21.0365377,105.8285908,Đền Quán Thánh,21.04302366,105.8363946,Temple
Ba Dinh,21.0365377,105.8285908,Sky Walk Lotte Centre,21.03213124,105.8124281,Scenic Lookout
Ba Dinh,21.0365377,105.8285908,Aquarius Legend Hotel,21.03232458,105.854457,Hotel
Ba Dinh,21.0365377,105.8285908,Hanoi La Selva Hotel,21.03137364,105.8548863,Hotel
Ba Dinh,21.0365377,105.8285908,Hidden Gem Coffee,21.03376,105.85514,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Sunkat’s Burgers,21.055584,105.835629,Burger Joint
Ba Dinh,21.0365377,105.8285908,Anita's Cantina,21.065331,105.8223,Mexican Restaurant
Ba Dinh,21.0365377,105.8285908,Hoa 10 giờ Floral & Book Café,21.03067727,105.8561435,Café
